# VELOCITY:     ACTUAL_POFV:
    0.166667           0
         0.5           0
    0.833333           0
     1.16667           0
         1.5           0
     1.83333           0
     2.16667       0.505
         2.5     2.21333
     2.83333    0.273333
     3.16667  0.00833333
         3.5           0
     3.83333           0
     4.16667           0
         4.5           0
     4.83333           0
     5.16667           0
         5.5           0
     5.83333           0
     6.16667           0
         6.5           0
     6.83333           0
     7.16667           0
         7.5           0
     7.83333           0
     8.16667           0
         8.5           0
     8.83333           0
     9.16667           0
         9.5           0
     9.83333           0
